volumeNumber,aidType,geopoliticalHeading,regionHeading,subregionHeading,localHeading,precedingNote,featureNumber,name,position,charNo,characteristic,heightFeetMeters,range,structure,remarks,postNote,noticeNumber,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"1121
A0826","Brighton Marina, W. breakwater, head.","50°48'29.36""N 
0°06'23.7""W",1,"Q.R.
","33
10",7,"White round structure, red bands.
","Horn: 2 bl. ev. 30s.
",,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"1122
A0825"," -E. breakwater, head.","50°48'33.7""N 
0°06'22.2""W",1,"Fl.(4)W.R.
period 20s 
","52
16","W. 10 
R. 8","White pillar, green bands.
","R. 260°-295°, W.-100°.  White lights shown inside of breakwater walls.
",,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"1123
A0825.20"," -Breakwater, head.","50°48'34.2""N 
0°06'22.2""W",1,"Q.G.
","26
8",7,,,,201118,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"1128
A0839",GREENWICH LIGHTSHIP.,"50°24'30""N 
0°00'06.2""W",1,"Fl.W.
period 5s 
fl. 0.5s, ec. 4.5s 
",,15,"Tower, red hull; 39.
","F.W. riding light.
Horn: 1 bl. ev. 30s (bl. 3.0s, si. 27.0s)
",,201516,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"1128
A0839",RACON,"50°24'30""N 
0°00'06.2""W",2,"M(- - )
period 20s 
",,10,,"(3 & 10cm).
",,201516,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,NEWHAVEN:,,,,"1132
A0832"," -E. pier, head.","50°46'47.1""N 
0°03'34.5""E",1,"Q.G.
","39
12",5,"White metal pole, green bands; 39.
",,,201744,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,NEWHAVEN:,,,,"1136
A0830"," -Breakwater, head.","50°46'32.19""N 
0°03'29.96""E",1,"Oc.(2)W.
period 10s 
fl. 1.0s, ec. 1.0s 
fl. 7.0s, ec. 1.0s 
","56
17",12,"White round concrete tower, red base; 46.
",,,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"1140
A0840",Beachy Head.,"50°44'02.16""N 
0°14'28.6""E",1,"Fl.(2)W.
period 20s 
fl. 1.0s, ec. 3.0s 
fl. 1.0s, ec. 15.0s 
","102
31",16,"White round tower, red band; 141.
","Visible 248°-101°.
",,201931,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"1144
A0843",Royal Sovereign.,"50°43'27.21""N 
0°26'05.36""E",1,"Fl.W.
period 20s 
fl. 1.4s, ec. 18.6s 
","93
28",12,"White tower, red band, cabin, column.
Helicopter platform. 
","Shown by day when fog signal is operating. 
Nautophone: 2 bl. ev. 30s (bl. 2.0s, si. 2.0s; bl. 2.0s, si. 24.0s)
",,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"1148
A0846","Eastbourne, pier, head.","50°45'56.48""N 
0°17'45""E",1,"2 F.R. (vert.)
","26
8",2,"Metal column; 10.
",,,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"1150
A0848",Sovereign Harbor Marina.,"50°47'14.2""N 
0°19'49.8""E",1,"Fl.(3)W.
period 15s 
","39
12",7,"Concrete tower.
",,,201515,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"1152
A0848.50", -258^.,"50°47'12""N 
0°19'48""E",1,"Dir.W.R.G.
period 3s 
fl. 0.3s, ec. 2.7s 
","13
4",1,,"Fl.G. 252°30`-256°30`, Fl.W.-259°30`, Fl.R.-262°30`.
",,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"1153
A0848.10"," -S. breakwater, head.","50°47'18""N 
0°20'06""E",1,"Fl.(4)R.
period 12s 
","10
3",6,,,,200305,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"1154
A0848.20"," -N. breakwater, head.","50°47'18""N 
0°20'06""E",1,"Fl.G.
period 5s 
","10
3",6,,,,200305,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,1160,CS2 Buoy.,"50°39'00""N 
0°32'42""E",1,"Fl.Y.
period 5s 
",,,"SPECIAL Y, pillar, topmark.
","Whistle.
",,201516,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,HASTINGS:,,,,"1164
A0858"," -Beach Range, front.","50°51'16.94""N 
0°35'23.39""E",1,"F.R.
","46
14",4,"White metal column; 26.
",,,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,HASTINGS:,,,,"1168
A0858.10"," --Rear, 357 meters 356^18' from front.","50°51'27.69""N 
0°35'22.2""E",1,"F.R.
","180
55",4,"White pentagonal tower; 20.
",,,201516,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,HASTINGS:,,,,"1172
A0856"," -W. breakwater, head.","50°51'11.11""N 
0°35'37.62""E",1,"Fl.R.
period 2.5s 
","16
5",4,"Mast; 13.
",,,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,HASTINGS:,,,,"1176
A0854"," -Hastings Pier, head","50°51'03.71""N 
0°34'23.6""E",1,"Q.R.
",,2,"Metal pole.
",,,201515,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,HASTINGS:,,,,1188, -Fairway Buoy.,"50°54'00""N 
0°48'00""E",1,"L.Fl.W.
period 10s 
fl. 2.0s, ec. 8.0s 
",,,"SAFE WATER RW, buoy, topmark.
","Radar Reflector. 
",,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,HASTINGS:,,,,"1192
A0866", -E. bank No 3.,"50°55'54""N 
0°46'18""E",1,"Q.G.
","10
3",2,"STARBOARD (A) G, tripod, topmark; 10.
",,,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,HASTINGS:,,,,"1196
A0867", -W. bank No 6.,"50°55'42""N 
0°46'30""E",1,"Q.R.
","10
3",2,"Red wooden pile; 10.
","Lights shown upstream.
",,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,HASTINGS:,,,,"1200
A0866.30", --No 7.,"50°56'00""N 
0°46'18""E",1,"Q.G.
","10
3",2,"Wooden piles, green triangular daymark point up.
",,,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,HASTINGS:,,,,"1204
A0866.50", --No 9.,"50°56'06""N 
0°46'12""E",1,"Q.G.
","10
3",2,"Wooden piles, green triangular daymark point up.
",,,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,HASTINGS:,,,,"1208
A0866.70", --No 11.,"50°56'12.01""N 
0°46'00""E",1,"Q.G.
","10
3",6,"Wooden structure, green triangular daymark point up; 10.
","Traffic signals.
",,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,HASTINGS:,,,,"1212
A0864.50"," -E. pier No 1, head.","50°55'45.26""N 
0°46'28.04""E",1,"Q.(9)W.
period 15s 
","23
7",5,"Metal structure, green triangular daymark point up; 16.
","Horn: 1 bl. ev. 7s (bl. 1.0s, si. 29.0s)
",,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,HASTINGS:,,,,"1216
A0864"," -West Groyne, head.","50°55'34.71""N 
0°46'34.1""E",1,"L.Fl.R.
period 7s 
","23
7",6,"Wooden tripod; 30.
","AIS (MMSI No 992351156).
",,201933,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:,,,,"1220
A0876", -Dungeness.,"50°54'47.85""N 
0°58'32.71""E",1,"Fl.W.
period 10s 
fl. 0.1s, ec. 9.9s 
","131
40",21,"Black round tower, white bands, lantern; 141.
Floodlit. 
","Visible 120°-078°.  Shown 24 hours.
Horn: 3 bl. ev. 60s
Horn points 130°. (bl. 2.0s, si. 2.0s; bl. 2.0s, si. 2.0s; bl. 2.0s, si. 50.0s)
",,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:,,,,"1220
A0876",,"50°54'47.85""N 
0°58'32.71""E",2,"F.R.G.
","122
37",10,,"R. 057°-073°, G.-078°, R. 196°-216°.
",,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:,,,,"1224
A0897.50", -VARNE LIGHTSHIP.,"51°01'12""N 
1°24'00""E",1,"Fl.R.
period 5s 
fl. 0.5s, ec. 4.5s 
",,15,"Red hull, light tower amidships; 39.
","AIS (MMSI No 992351038).
Horn: 1 bl. ev. 30s (bl. 2.0s, si. 28.0s)
",,201515,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:,,,,"1224
A0897.50", -RACON,"51°01'12""N 
1°24'00""E",2,"T(- )
",,10,,"(3 & 10cm).
",,201515,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Folkestone:,,,"1228
A0892"," --Breakwater, head.","51°04'33.01""N 
1°11'40.6""E",1,"Fl.(2)W.
period 10s 
fl. 0.5s, ec. 2.0s 
fl. 0.5s, ec. 7.0s 
","46
14",22,"Tower; 43.
","Visible 210?-090?.
",,201937,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Folkestone:,,,"1232
A0896", --E. pier (Outer harbor).,"51°04'42.01""N 
1°11'30""E",1,"Q.G.
",,,"Metal column; 7.
",,,201515,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:,,,,"1234
A0898"," -Shakespeare Cliff, E. head.","51°06'18.31""N 
1°16'51.93""E",1,"Fl.R.
period 5s 
fl. 0.3s, ec. 4.7s 
",,,,,,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:,,,,"1234.1
A0898.20", -W. head.,"51°06'04.42""N 
1°16'02.35""E",1,"Fl.R.
period 5s 
fl. 0.3s, ec. 4.7s 
",,,,,,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Dover:,,,"1236
A0900", --Admiralty pier.,"51°06'41.08""N 
1°19'39.89""E",1,"Fl.W.
period 7.5s 
fl. 1.0s, ec. 6.5s 
","69
21",20,"White tower; 72.
","Visible 096°-090°, obscured in the Downs by South Foreland inshore of 226°.  Traffic signals.
Horn: 1 bl. ev. 10s (bl. 2.0s, si. 8.0s)
",,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Dover:,,,"1236
A0900",,"51°06'41.08""N 
1°19'39.89""E",2,"3 Fl.W.
period 7.5s 
","26
8",1,,"Shown in fog.
",,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Dover:,,,"1248
A0912"," --S. pier, near head of N. side.","51°06'56.3""N 
1°18'53""E",1,"2 F.R. (vert.)
","16
5",,"Beacon; 7.
","2 meters apart.
",,201515,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Dover:,,,"1252
A0914"," --N. pier, near head.","51°06'58.88""N 
1°18'51.5""E",1,"3 F.G. (vert.)
","16
5",3,"Beacon; 7.
",,,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Dover:,,,"1256
A0906"," --Train Ferry dock, jetty, head.","51°06'53.03""N 
1°18'59.04""E",1,"Q.R.
","23
7",,"Post; 10.
",,,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Dover:,,,"1260
A0915"," --N. pier, spur.","51°07'01.16""N 
1°18'46.72""E",1,"Oc.G.
","10
3",2,"Post; 7.
",,,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Dover:,,,"1268
A0902"," --Prince of Wales pier, head.","51°06'50.7""N 
1°19'22.7""E",1,"V.Q.G.
","46
14",4,"White tower; 46.
",,,201516,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Dover:,,,"1268
A0902",,"51°06'50.7""N 
1°19'22.7""E",2,"Fl.Y.
period 1.5s 
",,,,"Occasional.
",,201516,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Dover:,,,"1272
A0924"," --S. breakwater, W. head.","51°06'47.3""N 
1°19'47.9""E",1,"Oc.R.
period 30s 
fl. 27.0s, ec. 3.0s 
","69
21",18,"White tower; 69.
",,,201515,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Dover:,,,"1276
A0926", --Knuckle of detached mole.,"51°07'02.82""N 
1°20'29.67""E",1,"Fl.(4)W.R.
period 10s 
fl. 0.8s, ec. 1.2s 
fl. 0.8s, ec. 1.2s 
fl. 0.8s, ec. 1.2s 
fl. 0.8s, ec. 3.2s 
","49
15","W.  15 
R.  13","White tower; 52.
","R. 059°-239°, W.-059°.
",,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Dover:,,,"1284
A0935"," --The Camber, Pier A, W. jetty, head.","51°07'31.4""N 
1°20'21""E",1,"Q.R.
","26
8",,"Mast.
","Intensified in fog.
Siren: 2 bl. ev. 10s.
Occasional. 
",,201516,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Dover:,,,"1288
A0936"," --Pier B, head.","51°07'29.79""N 
1°20'16.7""E",1,"Fl.(2)R.
period 5s 
","26
8",,,"Intensified in fog.
Siren: 1 bl. ev. 5s (bl. 1.0s, si. 4.0s)
Occasional. 
",,201515,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Dover:, --Dover (E. entrance):,,"1304
A0928"," ---Detached mole, N. head.","51°07'11.9""N 
1°20'36.9""E",1,"Fl.R.
period 2.5s 
fl. 1.0s, ec. 1.5s 
","36
11",5,,"Fl.(2) W. 10s shown in fog.
",,201604,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:, -Dover:, --Dover (E. entrance):,,"1305
A0929"," ---Eastern Arm, head.","51°07'18.51""N 
1°20'35.7""E",1,"Fl.G.
period 5s 
","39
12",5,,"Q.W. Shown in fog.  Traffic signals.
Horn: 2 bl. ev. 30s (bl. 2.0s, si. 2.0s; bl. 2.0s, si. 24.0s)
Radar Reflector. 
",,201516,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:,,,,"1312
A0950"," -Deal pier, head.","51°13'25.81""N 
1°24'32.9""E",1,"2 F.R. (vert.)
","23
7",2,"Metal framework tower.
","2 meters apart.
",,201515,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DOVER STRAIT:,,,,1316, -CS4 Buoy.,"51°08'30""N 
1°34'00""E",1,"Fl.(4)Y.
period 15s 
",,,"SPECIAL Y, pillar, topmark.
","Whistle.  Marks Area to be Avoided.
",,201516,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,DOVER STRAIT:,,,,"1324
A0984", --EAST GOODWIN LIGHTFLOAT.,"51°13'00""N 
1°36'18""E",1,"Fl.W.
period 15s 
fl. 0.2s, ec. 14.8s 
",,15,"Red hull, light tower amidships; 39.
","Shown by day when fog signal is operating.  AIS (MMSI No 992351035).
Horn: 1 bl. ev. 30s (bl. 3.0s, si. 27.0s)
",,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,DOVER STRAIT:,,,,"1324
A0984", --RACON,"51°13'00""N 
1°36'18""E",2,"T(- )
",,10,,"(3 & 10cm).
",,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,DOVER STRAIT:,,,,1326, --RACON,"51°06'06.6""N 
1°38'14.1""E",2,"O(- - - )
",,10,,"(3 & 10cm).
",,201604,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,DOVER STRAIT:, -Goodwin Sands:,,,1329, --NE. Goodwin Buoy.,"51°20'18""N 
1°34'18""E",1,"Q.(3)W.
period 10s 
",,,"E. CARDINAL BYB, pillar, topmark.
","Whistle.
",,201604,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,DOVER STRAIT:, -Goodwin Sands:,,,1329, --RACON,"51°20'18""N 
1°34'18""E",2,"M(- - )
",,10,,"(3 & 10cm).
",,201604,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,DOVER STRAIT:, -Goodwin Sands:,,,1330, --Outer Tongue Buoy.,"51°30'41.99""N 
1°26'30""E",1,"L.Fl.W.
period 10s 
",,,"SAFE WATER RW, pillar, topmark.
","Whistle.
",,201604,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,DOVER STRAIT:, -Goodwin Sands:,,,1330, --RACON,"51°30'41.99""N 
1°26'30""E",2,"T(- ) 
",,10,,,,201604,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,FALLS BANK:,,,,1332, -Inter Bank Buoy.,"51°16'30""N 
1°52'18""E",1,"Fl.Y. 
period 5s 
",,,"SPECIAL Y, pillar, topmark.
",,,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,FALLS BANK:,,,,1332, -RACON,"51°16'30""N 
1°52'18""E",2,"M(- - )
",,10,,"(3 & 10cm).
",,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,FALLS BANK:,,,,"1336
A0992", -FOXTROT 3 LIGHTSHIP.,"51°23'48""N 
2°00'36""E",1,"Fl.W.
period 10s 
fl. 0.2s, ec. 9.8s 
",,15,"Red hull, light tower amidships; 39.
","AIS (MMSI No 992351033).
Horn: 1 bl. ev. 10s (bl. 1.0s, si. 9.0s)
",,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,FALLS BANK:,,,,"1336
A0992", -RACON,"51°23'48""N 
2°00'36""E",2,"T(- )
",,10,,"(3 & 10cm).
",,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,RAMSGATE:,,,,"1348
A0957.1"," -W. pier, head.","51°19'39.6""N 
1°25'17.5""E",1,"F.R.
","39
12",7,"Round granite tower; 36.
",,,201825,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,RAMSGATE:,,,,"1349
A0959"," -N. breakwater, head.","51°19'34.33""N 
1°25'27.85""E",1,"Q.G.
","33
10",5,"Green pillar, platform.
",,,201622,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,RAMSGATE:,,,,"1350
A0959.50"," -S. breakwater, head.","51°19'26.86""N 
1°25'23.95""E",1,"V.Q.R.
","33
10",5,"Red pillar, platform.
",,,201622,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,RAMSGATE:,,,,"1352
A0958"," -W. ferry terminal Range, front.","51°19'30.31""N 
1°24'50.4""E",1,"Dir.Oc.W.R.G.
period 10s 
fl. 8.0s, ec. 2.0s 
","33
10",5,"White mast, black triangular daymark point up, orange stripe.
","G. 259°-269°, W.-271°, R.-281°.
",,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,RAMSGATE:,,,,"1356
A0958.10"," --Rear, 493 meters 270^ from front.","51°19'30.9""N 
1°24'25.8""E",1,"Oc.W.
period 5s 
fl. 3.0s, ec. 2.0s 
","56
17",5,"White mast, black triangular daymark point down, orange stripe.
","Visible 263°-278°.  V.Q.G. and Q.R. beacons mark channel to SW.
",,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,,,,,"1360
A0964","Broadstairs pier, SE. head.","51°21'29.93""N 
1°26'43.93""E",1,"2 F.R. (vert.)
","23
7",4,"Metal column; 16.
",,,201513,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,,,,,"1364
A0966",North Foreland.,"51°22'29.79""N 
1°26'42.4""E",1,"Fl.(5)W.R.
period 20s 
fl. 0.5s, ec. 1.1s 
fl. 0.5s, ec. 1.1s 
fl. 0.5s, ec. 1.1s 
fl. 0.5s, ec. 1.1s 
fl. 0.5s, ec. 13.1s 
","187
57","W. 19 
R. 16 
R. 15","White octagonal tower; 85.
","W. 094°-150°, R.(16M)-181°, R.(15M)-200°, W.-011°.  AIS (MMSI No 992351020).
DGPS Station
",,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,,,,,"1368
A1971",Tide gauge.,"51°23'42.5""N 
1°22'44.9""E",1,"Q.W.
",,3,"N. CARDINAL BY, beacon, topmark.
","Tide gauge.
",,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,,,,,"1372
A1972"," -Stone pier, head.","51°23'27.25""N 
1°22'41.53""E",1,"F.R. 
","59
18",4,"Stone tower; 66. 
",,,201513,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,,,,,"1376
A1976",Herne Bay.,"51°22'54.91""N 
1°06'54.05""E",1,"Q.W.
","59
18",4,"Metal mast, concrete landing stage; 49.
","Pier head isolated from shore.
",,201622,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,,,,,"1378
A1977",Kentish Flats.,"51°26'47.64""N 
1°04'41.34""E",1,"Fl.Y.
period 5s 
","43
13",5,"Yellow framework mast, pile.
","One on each side.
Radar Reflector. 
",,201622,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,,,,,"1378
A1977",,"51°26'47.64""N 
1°04'41.34""E",2,"F.R.
","154
47",,,,,201622,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,,,,,"1378
A1977",,"51°26'47.64""N 
1°04'41.34""E",3,"F.R.
","253
77",,,,,201622,
PUB 114,Lighted Aids,ENGLAND-THAMES RIVER APPROACHES,,,,,"1384
A1979","Whitstable, W. quay.","51°21'51""N 
1°01'27.3""E",1,"Fl.G.
period 5s 
","7
2",,"Dolphin.
",,,201515,
PUB 114,Lighted Aids,ENGLAND-THAMES RIVER APPROACHES,,,,,"1400
A2009.70",Isle of Grain.,"51°26'41.6""N 
0°43'23.2""E",1,"Q.W.
","66
20",13,"Red tower, red and white diamond daymark; 66.
",,,201936,
PUB 114,Lighted Aids,ENGLAND-THAMES RIVER APPROACHES,,,,,"1404
A1996","Sheerness, Garrison Point, RoRo berth No 10.","51°26'56.44""N 
0°44'48.94""E",1,"2 F.R. (vert.)
",,,"Dolphin.
","Reserve fog signal 310 meters SW.  R. light on radio mast 340 meters SSW.
Horn: 3 bl. ev. 30s (bl. 2.0s, si. 3.0s; bl. 2.0s, si. 3.0s; bl. 2.0s, si. 18.0s)
",,201622,
PUB 114,Lighted Aids,ENGLAND-THAMES RIVER APPROACHES,,,,,1413,Sea Reach Buoy 1.,"51°29'24""N 
0°52'42""E",1,"Fl.Y.
period 2.5s 
",,,"SPECIAL Y, pillar, topmark.
",,,201515,
PUB 114,Lighted Aids,ENGLAND-THAMES RIVER APPROACHES,,,,,1413,RACON,"51°29'24""N 
0°52'42""E",2,"T(- )
period 90s 
",,10,,"(3 cm).
",,201515,
PUB 114,Lighted Aids,ENGLAND-THAMES RIVER APPROACHES,,,,,1417,Sea Reach Buoy 7.,"51°30'06""N 
0°37'12""E",1,"Fl.Y.
period 2.5s 
",,,"SPECIAL Y, pillar, topmark.
",,,201515,
PUB 114,Lighted Aids,ENGLAND-THAMES RIVER APPROACHES,,,,,1417,RACON,"51°30'06""N 
0°37'12""E",2,"T(- )
period 90s 
",,10,,"(3 cm).
",,201515,
PUB 114,Lighted Aids,ENGLAND-THAMES RIVER APPROACHES FROM NORTHEASTWARD,,,,,"1420
A2170",SUNK CENTRE LIGHTFLOAT.,"51°50'06.6""N 
1°46'01.2""E",1,"Fl.(2)W.
period 20s 
fl. 0.3s, ec. 4.8s 
fl. 0.3s, ec. 14.6s 
",,16,"Red hull, light tower amidships; 39.
","Shown by day when fog signal is operating.  AIS (MMSI No 992351034).
Horn: 2 bl. ev. 60s (bl. 2.0s, si. 2.0s; bl. 2.0s, si. 54.0s; bl. 2.0s, si. 2.0s; bl. 2.0s, si. 54.0s)
",,201604,
PUB 114,Lighted Aids,ENGLAND-THAMES RIVER APPROACHES FROM NORTHEASTWARD,,,,,"1421
A2172",SUNK INNER LIGHTFLOAT.,"51°51'01.8""N 
1°34'53.4""E",1,"Fl.(5)W.
period 15s 
",,12,"Red hull, light tower amidships; 36.
","AIS (MMSI No 992351027).
Horn: 1 bl. ev. 30s (bl. 2.0s, si. 28.0s)
",,201933,
PUB 114,Lighted Aids,ENGLAND-THAMES RIVER APPROACHES FROM NORTHEASTWARD,,,,,"1421
A2172",RACON,"51°51'01.8""N 
1°34'53.4""E",2,"T(- )
",,10,,"(3 & 10cm).
",,201933,
PUB 114,Lighted Aids,ENGLAND-THAMES RIVER APPROACHES FROM NORTHEASTWARD,,,,,1422,Buoy Barrow No 3.,"51°42'00""N 
1°20'18""E",1,"Q.(3)W.
period 10s 
",,,"E. CARDINAL BYB, pillar, topmark.
","Bell.
",,201622,
PUB 114,Lighted Aids,ENGLAND-THAMES RIVER APPROACHES FROM NORTHEASTWARD,,,,,1422,RACON,"51°42'00""N 
1°20'18""E",2,"M(- - )
",,10,,"(3 & 10cm).
",,201622,
PUB 114,Lighted Aids,ENGLAND-THAMES RIVER APPROACHES FROM NORTHEASTWARD,,,,,"1424
A1956","Long Sand Bank, meteorological mast.","51°35'38.4""N 
1°23'08.8""E",1,"Mo.(U)W.
period 15s 
","39
12",10,"Yellow metal framework tower.
","Horn: Mo.(U) ev. 30s.
Radar Reflector. 
",,201515,
PUB 114,Lighted Aids,ENGLAND-THAMES RIVER APPROACHES FROM NORTHEASTWARD,,,,,"1424
A1956",AVIATION LIGHT.,"51°35'38.4""N 
1°23'08.8""E",2,"F.R.
","276
84",,,,,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,,,,,"1432
A2184","Brightlingsea Range, front.","51°48'24""N 
1°01'18""E",1,"F.R.
","23
7",4,"Post, white square daymark, red stripe.
","Visible 020°-080°.
",,200206,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,,,,,"1436
A2184.10"," -Rear, 50 meters 041^ from front.","51°48'24""N 
1°01'18""E",1,"F.R. 
","33
10",4,"Post, white square daymark, red stripe. 
",,,198001,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,,,,,"1440
A2187",Bateman tower.,"51°48'18""N 
1°00'48""E",1,"Fl.(3)W.
period 20s 
","39
12",,,"F.R. shown on W. Bank of River Colne and 7 masts between 1.5 and 3 miles WNW. when firing in progress.
",,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,,,,,"1444
A2192","Clacton-on-Sea, elbow of berthing arm.","51°47'02.9""N 
1°09'28.4""E",1,"2 F.G. (vert.)
","16
5",4,"Mast.
","Shown at E. and W. ends and center of berthing arm.
Reed: 2 bl. ev. 120s.
When vessels are berthing.
",,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,,,,,"1448
A2194","Walton on the Naze pier, head.","51°50'35.96""N 
1°16'47.99""E",1,"2 F.G. (vert.)
","17
5",2,"White post; 7.
",,,201604,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,,,,,"1451
A2196.1",Cork Sand.,"51°55'30.9""N 
1°25'25.2""E",1,"V.Q.W.
",,2,"N. CARDINAL BY, beacon, topmark.
",,,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,HARWICH HARBOR:, -Felixstowe:,,,"1468
A2203.20"," --Dock entrance, N. head.","51°57'02.81""N 
1°18'45""E",1,"2 F.G. (vert.)
",,,,,,201515,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,HARWICH HARBOR:,,,,"1470
A2217.40", --RoRo berth No 4.,"51°56'54.56""N 
1°14'46.27""E",1,"2 F.R. (vert.)
","16
5",2,"Post.
","1 meter apart.
",,201622,
PUB 114,Lighted Aids,ENGLAND-EAST COAST,HARWICH HARBOR:, -Felixstowe:,,,"1471
A2217.42", ---W.,"51°56'54.49""N 
1°14'42.8""E",1,"2 F.R. (vert.)
","16
5",2,"Post.
","1 meter apart.
",,201515,
